Comment
I have been watching you since she born
Happy birthday 🎉🎉🎂🎂
Mere bete ka birthday bhi same day same age. Wo bhi 5 years ka hogaya hai.
Time has flownnnn ... Happy birthday to Rasbari dear🎁🎂🎀🎶🎋🍀... have been seeing Rashi before she turned 1 yr old. Wowww❗Gauravji u have lost a lot of weight n ur looking lean &amp; very fit 😎👌. God Bless your Beautiful family. 🙏💖
Happy birthday rishi
This puppy was my child&#39;s first toy as well😊
"Watching flying beast since Rashi was not there.  Almost 6, 7 years. Kattar flying beast fan❤😅"
I watch u since rashi was 6 month . I think time flies. This vlog was needed ❤
M to pihu ki bajah se dekhti hu vlog 😂😂😂😂😂😂
Jai shree ram
ritu ji se zagda
Rashi😍😘❤🎉
I loved it thanks you much crying 😭
Watching gaurav sir since 2017 still same feeling in their vlog
I&#39;ve been watching your video since when you posted is she pregnant? and here i am 5 years with rashi and pihu❤🎉😂
Happy birthday Rashi God bless you 🇮🇳
Proper ending nahi ho paya cuz aap aur vabhi ji jhagad gaye honge ...chalo abhi jaldi se heart de do ....
M to shru se  dekh rhi sir ke vlog jb rashi ka birth    se phele
Happy birthday Rashi🎉🎂....getting cutier day by day....❤
Ohh my lovely cutee Rashi atna bari ho gai 😘😍5th Happy birthday cuteepie Rashi🎉🎂8 love you soo much . Lots of blessings to you. ❤❤❤❤❤❤
Moo baa la la la se 5th birthday. It makes me sad in a happy way though.
Every blogger must learn something from gaurav sir❤❤
Rashi literally has her every small memory when she grow up she can watch all of it she is lucky happy birthday girl❤🎉
Happy Birthday rashibhari
Pihu ki gift kaha se Li hai aapne
Happy birthday Raashi.<br>Bhai baccho se Ballon door rkha kro.  Ballon gale mai fass jata hai fulate time.
You are the best
4:8
Happy birthday
Remember that vlog that gaurav made in a hotel in which he tries to fly drone inside the room and crashed it 😂😂
"Sir,apka law ki padhai ka Kiya hua?"
This rugged dark look is suiting u
The most beautiful and happiest family I&#39;ve ever seen!
OMG i can&#39;t believe my and her birthday are on the same day
Hpiest bday dear...stay blessed...
Wow so beautiful and very cute bro 😍 ❤️ 😊🎉
Proud To Be Indian ❤
Congratulations❤❤ rashi
"Kuch chize natural hi ache lgta h whi ghar k background, no make up simple jaise rhte h sab ghr p....❤❤ Bht mst"
Can we get a regular vlogs again
Flying Beast Family ♥
Awesome
Happy birthday rashi
Aaj mera birthday bhi h❤
Pihu bahut cute hai
Bro i am watching him from his fitness channel of u all remember....
I miss my grandfather 🥺
"first part of the video is what audience wanna watch.. rashi, pihu, dadu dadi thts where we cnct ... not any award show lol"
5 year 4 days ago
"Them-&quot;sabko heart milega:)&quot;<br><br>Me- <b>I VOLUNTEER!,I VOLUNTEER!!! 🫡</b>"
Heart chahiye!! ❤
Please never stop vlogging
Omg rashi&#39;s 5 already🥺
Sb log thik se hn but ritu ji ko kapde phne ki tameez na h skin show aise krti h Jaise bs uske pas hi h😂😂😂😂😂😂
Where and what happened to mau?
Happy Birthday Rashi
Gaurav Sir Beard❤❤❤
❤❤❤❤
"Gaurav Sir maintain your beard like this, looking more handsome than before"
"HAPPY BIRTHDAY RASHI😘<a href=""about:invalid#zCSafez""></a>💕💘"
Ritu ma&#39;am ki choti speech that&#39;s why😂
I hav been watching since her 6 months ☺
You guys failed as a parent. Shud learn from your parents.
Rashi k paida hone wala vlog or aj vo pyari gudiya 5yers ki ho gyi... Chiklu song sb jese kl ki baat ho. Time flies God bless you always ❤️ ❤🎉
Love from Chandigarh ❤
Ladai hogai kya end me?
<b>hum tho channel he bhul gaye😩😩😩</b>
Happy birthday रशबरी 🎉
Kalesh ho gaya end mein😂😂😂
Mujhe v heart chahiye😊😊😊
Oh god pihu iss soo cute she made my day by her cutee laugh at seeing dog 🐶 and calling it mau 💗
Happy Birthday 🎂🍰 baby 🎉
"<a href=""https://youtu.be/lFMPG5TLo6I"">https://youtu.be/lFMPG5TLo6I</a>"
love you ❤❤❤
"<a href=""https://youtu.be/0nuRVPpg68o"">https://youtu.be/0nuRVPpg68o</a><br><br>Mr taneja, do sue her. Stop her"
Happy birthday Rashi
"<a href=""https://www.youtube.com/watch?v=rdXdUNQQI10&amp;t=2m30s"">2:30</a>"
Desh ke Dhoni ke liye nikalna he
Mujhe bhi heart milega kya sir!???❤❤🎉🎉
The og flying beast ❤
Its been 5 years i am watching this utube channel and getting inspired every single day to become like you❤❤❤
Give a nice haircut for Pihu
aap beard me achhhe lagte ho bahot 🥰🥰🥰🥰🥰🥰🤩🤩🤩
Happy Birthday Chiklu ♥️
beard me achhe lagte ho
❤️ happy birthday rashi
"Bhai mai aapko starting se dekh raha hu aapko aur rashi ko 5 saal ho bhi gaye😮 <a href=""https://www.youtube.com/watch?v=rdXdUNQQI10&amp;t=0m43s"">0:43</a>"
"Happy birthday rashi,s"
All the best for your journey
Sir abhi ap bhopal ka sbi bank sa gaya
paka ritu mam aur aap ke beech mai ladai hua hoga tho proper ending nahi hua
IIT Or Navodayan Hokar Sir Ap Puja Karte Ho To Aise Lagta h Jaise Koi Monkey Hanuman ji Ki Puja Karta Ho😂
Many more happy returns of the day rashi
Happy birthday rashu .. princess..may ur all dreams come true.🎉❤
And I met her(Ritu ma’am) yesterday in a store in Delhi…she’s so humble🥰
Bhai phle dekhte ek mahine se dikhte hi ni the..
"<a href=""https://www.youtube.com/watch?v=rdXdUNQQI10&amp;t=10m01s"">10:01</a> Jonny bhaiya bhi aaye thay , mamaearth yeh wali cream bhi banane laga"
Hi
Happy birthday Rashi🎉🎉🎉🎉🎉🎉
Pihu is such a cute baby ❤️
I have been watching flying beast since when Ritu was pregnant
Happy birthday rashi. gaurav bhaiya and Ritu bhabi thank you so much. I had seen rashi growing in front of me with the help of you. So it&#39;s a very emotional moment for me as well. May God give everything to both baby girls whatever they wish for. Once again thank you
"<a href=""https://youtube.com/shorts/3eQ0JwHEeIU?feature=share"">https://youtube.com/shorts/3eQ0JwHEeIU?feature=share</a>"
Ending nahi ho payi....kyuki shayad dono ki ladai ho gyi🤣
Proper ending isiliye nahi ho paya kyuki chai ki tadap bula rahi thi
where is Mau now
❤❤❤❤❤😊😊😊😊😊🎉🎉🎉
❤❤❤❤❤❤😊😊😊😊😊
Yrr rashu 5 saal ki hogyiiii❤❤❤time ka pta hee nahi chla...lots of love and good health to rashu..aata daal sabbi
Aaj bahat din ki bat aapki video  dekhi bahat achha laga... Rashi kitni badi hagei yehi youtube pe dekhte dekhte ... Me or mere husband raj dekhte the pehele job hum logo ki sadi nehi hui thi... Humare relationship ka 5sal bit gaya or rashi ka b.... Pata hi nehi chalta kese ye din bit jate he....❤❤❤❤❤bas bhagbanji se yehi dua he ki rashi jesi hume bhi ek beti ho.....😊😊😊
I have been watching since ritu was pregnant with Rashi .....
Belated happy birthday Rashi 🎉🎉🎉
Bhai ab rashu ka bhai bhi la do😅
Potty lg gyi isi liye ending nhi ho paya😁😂
Happy Birthday rashi God bless you beta ❤❤
happy birthday Rashi
Where are you all these days missing 😂
Happy birthday🎂🎉🎁 beta
HBD rashu 😊
Where is mau?
"wah video ki shuruvaat mai aisa scene , mann hua bol dun wahh kya scene hai <b>_</b> :))"
Yaar ek saal se itna acha content par tab bhi 8million nhi hue we want flying beast to be no.1 vlogger again by the end of this year
Happy birthday beta.
Rashi inni si hue thi❤
And I realised watch him from last 6 years
Daily vlog are the best🥺❤️
Happy birthday 🎉 Rashu beta🎉
It&#39;s growing pains... happens to some children..my son also had it at the same age..had met the ortho at the time and he said it passes with time... today he&#39;s 16.i don&#39;t even know when it stopped.  God bless Rashi🎉
Editing isliye achi nhi ho payi kyuki acha lgta hai
"<a href=""https://youtu.be/ISbY7XJhJJg"">https://youtu.be/ISbY7XJhJJg</a>"
"Sir me isko kya khu app khud batiye me to marne ka man kar rha hai <a href=""https://youtube.com/shorts/5QIwEmfshvw?feature=share"">https://youtube.com/shorts/5QIwEmfshvw?feature=share</a>"
❤❤❤
Reason : ladi ho gyi ?
"Happy Birthday to our sweetest Rashuu stay blessed baby, watching you from the day you took birth, being a part of flying beast since 5 years🎉"
Family man . Nd family is everything ❣️
Happy birthday rashi with lots of love and kisses 😘❤ and ending reason yeh hai ki app bhut thaak gye the 😂
Happy birthday
Happy birthday my cute reshi love u ❤
Aur kisi ne notice kiya ki nhi Vlog mein pta nhi pr Maene to kiya ki while Pihu guessing the Family Members than Rashi suddenly telling Pihu to calling her also a Mummy bec maybe she realises that a elder sister is also like a Mother &amp; after that badi 🤓Cutely she said ye Maen hun..🖤💚.....💪🏼👉🏼😏🤙🏼
Sir vlogging m mza ni aa rha chordo
"Surmayi ankhiyon mein that Fab, Marvelous, Epic Etc 🎵🎶Song Mere Papa mujhe Lori ki taraah Mere bachpan mein Mujhe apni chhaati pe litaake 🗣️🎙️sunaate huye sulaate the. Thanks for showing that Part Gaurav Bhai aadhi raat ko dekh rha hun aapne wo Keemati Pal fhir se yaad dila diye waese bhi Maen shyd Marne ke baad bhi naa bhulu maybe. Goodluck Gaurav Bhai &amp; Ur Whole Family too.....💪🏼👉🏼😏🤙🏼"
How dadu was singing for rashi my dad use to sing same song for me 😍
I&#39;m watching u since 2016 ..I was in 8th class back then ...time flies so fast damn 😌
You both are such an inspiring guys aap par gussa aahi nahi sakta
"Happy Birthday Rashi , lots of love to you❤🎂🍭<br>@flyingbeast: no proper ending because i guess you both (Ritu Ma&#39;am and Gaurav Sir) had a fight for some reason 😕"
Happy birthday🎂 Betu❤ love you
Great channel
Happy bday to you rashi❤❤🎂🎂
So wholesome ❤🎉
I have been watching flying beast since 2017....1 year before Rashi born....BTW Happy birthday rashi🎉<br>Gaurav bhai you are inspiration for us...<br>💪🔥<br>From kanpur 😊
Rishi and pihu are very lucky to have their grandparents with them 🥺🥰<br>Miss you maa and dadu 🥺😭
Happy Birthday to Nanha Rashu🎂
Nice Vlogs Beautiful ❤❤❤❤❤
Happy birthday rashiii jab say dekhan shoro kia hai rashi piho say b choti thi...abb mashaAllah itni bari hogai...or sir u r great ..im from pakistan but I&#39;m ur big fan❤
Happy birthday sweetheart god bless you always be happy 🎂🎈🎊🎉
The first vlog I saw was of Rashi&#39;s Birth.. 😘.. Tab wo Rasbhari hua krti thi ab wo hamari pyari Rashhu h.. ❤❤
congratulations
Kon kon flying beast ka true fan h?? M following them since 4 years 😂😂😂😂😂😊😊😊
